class	path	image
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.005.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.005.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.005.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.001.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.001.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.001.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.001.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.001.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.001.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.004.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.004.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.004.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.004.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.004.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.004.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/wallllsss_Cylinder.017.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/wallllsss_Cylinder.017.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/wallllsss_Cylinder.017.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/wallllsss_Cylinder.017.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/wallllsss_Cylinder.016.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/wallllsss_Cylinder.016.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/wallllsss_Cylinder.016.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/wallllsss_Cylinder.016.Texture	rbxassetid://121046484900689
Decal	Workspace.Monuments.ConvoyOne.ConvoyOne.Guard Tower.Meshes/Convoy_Steps1_Plane.021.Images/Vignette	rbxassetid://520946063
Decal	Workspace.Monuments.ConvoyOne.ConvoyOne.Guard Tower.Meshes/Convoy_Steps1_Plane.020.Images/Vignette	rbxassetid://520946063
Decal	Workspace.Monuments.ConvoyOne.ConvoyOne.Truck 1.Meshes/Circle.Images/Vignette	rbxassetid://520946063
Decal	Workspace.Monuments.ConvoyOne.ConvoyOne.Truck 2.Meshes/Circle.Images/Vignette	rbxassetid://520946063
Decal	Workspace.Monuments.ConvoyOne.ConvoyOne.Truck 1.Meshes/Circle.Images/Vignette	rbxassetid://520946063
Decal	Workspace.Monuments.Diving Inn.Diving Inn.Part.SCUBA SIGN (1)	rbxassetid://15221921552
Texture	Workspace.Monuments.Diving Inn.Diving Inn.Shelf.Texture	rbxassetid://5222148323
Texture	Workspace.Monuments.Diving Inn.Diving Inn.Shelf.Texture	rbxassetid://5222148323
Decal	Workspace.VFX.Ragdolls.benjamin20021342637.Head.Birthmark1	rbxassetid://3524056624
Decal	Workspace.VFX.Ragdolls.benjamin20021342637.Head.Brows	rbxassetid://2801696705
Decal	Workspace.VFX.Ragdolls.benjamin20021342637.Head.Detail	rbxassetid://2801785860
Decal	Workspace.VFX.Ragdolls.benjamin20021342637.Head.Mouth	rbxassetid://2801751773
Decal	Workspace.VFX.Ragdolls.benjamin20021342637.Head.Eyes	rbxassetid://2801605473
Decal	Workspace.VFX.Ragdolls.benjamin20021342637.Head.Bruise	rbxassetid://3524032382
Decal	Workspace.VFX.Ragdolls.benjamin20021342637.Head.Bruise	rbxassetid://3524032382
Decal	Workspace.VFX.Ragdolls.benjamin20021342637.Head.Scuff	rbxassetid://3524040607
Decal	Workspace.Trees.Tree_Forest3_06.TreeX.Main.X	rbxassetid://6285150306
Decal	Workspace.Trees.Tree_Forest1_01_Small.TreeX.Main.X	rbxassetid://6285150306
Decal	Workspace.Trees.Tree_Forest3_03.TreeX.Main.X	rbxassetid://6285150306
Decal	Workspace.Trees.Tree_Forest1_01_Giant.TreeX.Main.X	rbxassetid://6285150306
Decal	Workspace.Trees.Desert_Tree_03.TreeX.Main.X	rbxassetid://6285150306
Decal	Workspace.Trees.Desert_Tree_02.TreeX.Main.X	rbxassetid://6285150306
Decal	Workspace.Trees.Tree_Forest3_04.TreeX.Main.X	rbxassetid://6285150306
Decal	Workspace.Trees.Tree_Forest1_08_Small.TreeX.Main.X	rbxassetid://6285150306
Decal	Workspace.Trees.Tree_Forest1_07.TreeX.Main.X	rbxassetid://6285150306
Decal	Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Door.Detail.Decal	rbxassetid://6101276356
Decal	Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Door.Detail.Decal	rbxassetid://6101276356
Decal	Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Door.Detail.Decal	rbxassetid://6101276356
Decal	Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Door.Detail.Decal	rbxassetid://6101276356
Decal	Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Door.Detail.Decal	rbxassetid://6101276356
Decal	Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Door.Detail.Decal	rbxassetid://6101276356
Decal	Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Door.Detail.Decal	rbxassetid://6101276356
Decal	Workspace.Bases.Base.Salvaged Metal Door.Salvaged Metal Door.Door.Detail.Decal	rbxassetid://6101276356
Decal	Workspace.Bases.Loners.Diver Dave.Diver Dave.Main.Detail	rbxassetid://2801785860
Decal	Workspace.Bases.Loners.Diver Dave.Diver Dave.Main.Birthmark1	rbxassetid://3524056624
Decal	Workspace.Bases.Loners.Diver Dave.Diver Dave.Main.Freckles	rbxassetid://3524071308
Decal	Workspace.Bases.Loners.Diver Dave.Diver Dave.Main.Eyes	rbxassetid://2801605712
Decal	Workspace.Bases.Loners.Diver Dave.Diver Dave.Main.Mouth	rbxassetid://2813767341
Decal	Workspace.Bases.Loners.Diver Dave.Diver Dave.Main.Brows	rbxassetid://3523931344
Decal	Workspace.Bases.Loners.External Wooden Gate.External Wooden Gate.Wire.Decal	rbxassetid://1230194305
Decal	Workspace.Bases.Loners.External Wooden Gate.External Wooden Gate.Wire.Decal	rbxassetid://1230194305
Decal	Workspace.Bases.Loners.External Wooden Gate.External Wooden Gate.Wire.Decal	rbxassetid://1230194305
Decal	Workspace.Bases.Loners.External Wooden Gate.External Wooden Gate.Wire.Decal	rbxassetid://1230194305
Decal	Workspace.Bases.Loners.External Wooden Wall.External Wooden Wall.Wire.Decal	rbxassetid://1230194305
Decal	Workspace.Bases.Loners.Contents.Contents.Head.eyes	rbxassetid://2801605712
Decal	Workspace.Bases.Loners.Contents.Contents.Head.mouth	rbxassetid://2813767341
Decal	Workspace.Bases.Loners.Contents.Contents.Head.mouth	rbxassetid://2813767341
Decal	Workspace.Bases.Loners.Contents.Contents.Head.eyes	rbxassetid://2801605712
Decal	Workspace.CameraRoot.Root.Decal	rbxassetid://1012273002
Decal	ReplicatedStorage.Armors.Hazmat Suit.Default.Head.Middle.face	rbxasset://textures/face.png
Decal	ReplicatedStorage.Armors.Hazmat Suit.Snowman.Head.Middle.face	rbxasset://textures/face.png
Decal	ReplicatedStorage.Armors.Hazmat Suit.Blue Fissure.Head.Middle.face	rbxasset://textures/face.png
Decal	ReplicatedStorage.Armors.Hazmat Suit.Digital Red.Head.Middle.face	rbxasset://textures/face.png
Decal	ReplicatedStorage.Armors.Hazmat Suit.Spark.Head.Middle.face	rbxasset://textures/face.png
Decal	ReplicatedStorage.Armors.Hazmat Suit.Stellark.Head.Middle.face	rbxasset://textures/face.png
Decal	ReplicatedStorage.Armors.Hazmat Suit.Digital Camo.Head.Middle.face	rbxasset://textures/face.png
Decal	ReplicatedStorage.Armors.Hazmat Suit.Classified.Head.Middle.face	rbxasset://textures/face.png
Decal	ReplicatedStorage.Armors.Hazmat Suit.Guard.Head.Middle.face	rbxasset://textures/face.png
Decal	ReplicatedStorage.Armors.Hazmat Suit.Front.Head.Middle.face	rbxasset://textures/face.png
Decal	ReplicatedStorage.Armors.Hazmat Suit.Ducky.Head.Middle.face	rbxasset://textures/face.png
Decal	ReplicatedStorage.Armors.Hazmat Suit.Ghoul.Head.Middle.face	rbxasset://textures/face.png
Decal	ReplicatedStorage.Armors.Hazmat Suit.Specialist.Head.Middle.face	rbxasset://textures/face.png
Texture	ReplicatedStorage.Armors.Steel Helmet.TEST.Head.Armor.Texture	rbxassetid://5899801856
Texture	ReplicatedStorage.Armors.Steel Helmet.TEST.Head.Armor.Texture	rbxassetid://5899801856
Texture	ReplicatedStorage.Armors.Steel Helmet.TEST.Head.Armor.Texture	rbxassetid://5899801856
Texture	ReplicatedStorage.Armors.Steel Helmet.TEST.Head.Armor.Texture	rbxassetid://5899801856
Texture	ReplicatedStorage.Armors.Steel Helmet.TEST.Head.Armor.Texture	rbxassetid://5899801856
Texture	ReplicatedStorage.Armors.Steel Helmet.TEST.Head.Armor.Texture	rbxassetid://5899801856
Decal	ReplicatedStorage.Armors.Bone Armor.Default.Head.Middle.face	rbxasset://textures/face.png
ImageLabel	ReplicatedStorage.Attachments.Weapon Flashlight.Base.Glare.Label	rbxassetid://917186750
ImageLabel	ReplicatedStorage.Attachments.Holo Sight.Reticle.ReticleBack.Label	rbxassetid://4634877059
ImageLabel	ReplicatedStorage.Attachments.Holo Sight.Reticle.ReticleFront.Label	rbxassetid://4634877059
ImageLabel	ReplicatedStorage.Attachments.Military ACOG Sight.Reticle.ReticleFront.Label	rbxassetid://126126922
ImageLabel	ReplicatedStorage.Attachments.Military ACOG Sight.Reticle.ReticleBack.Label	rbxassetid://126126922
ImageLabel	ReplicatedStorage.Attachments.Bruno's ACOG Sight.Reticle.ReticleFront.Label	rbxassetid://126126922
ImageLabel	ReplicatedStorage.Attachments.Bruno's ACOG Sight.Reticle.ReticleBack.Label	rbxassetid://126126922
Texture	ReplicatedStorage.Benches.Electric Furnace.ICBM.Detail.Texture	rbxassetid://121046484900689
Texture	ReplicatedStorage.Benches.Electric Furnace.Default.Detail.Texture	rbxassetid://121046484900689
Texture	ReplicatedStorage.Benches.Boris's Locker.Default.Detail.Texture	rbxassetid://444862939
Texture	ReplicatedStorage.Benches.Boris's Locker.Default.Detail.Texture	rbxassetid://444862939
Decal	ReplicatedStorage.Benches.External Stone Gate.Default.Wire.Decal	rbxassetid://1230194305
Decal	ReplicatedStorage.Benches.External Stone Gate.Default.Wire.Decal	rbxassetid://1230194305
Texture	ReplicatedStorage.Benches.Brutus Locker.Default.Detail.Texture	rbxassetid://444862939
Texture	ReplicatedStorage.Benches.Brutus Locker.Default.Detail.Texture	rbxassetid://444862939
Decal	ReplicatedStorage.Benches.External Wooden Wall.Default.Wire.Decal	rbxassetid://1230194305
Decal	ReplicatedStorage.Benches.External Wooden Gate.Default.Wire.Decal	rbxassetid://1230194305
Decal	ReplicatedStorage.Benches.External Wooden Gate.Default.Wire.Decal	rbxassetid://1230194305
Decal	ReplicatedStorage.Benches.External Wooden Gate.Default.Wire.Decal	rbxassetid://1230194305
Decal	ReplicatedStorage.Benches.External Wooden Gate.Default.Wire.Decal	rbxassetid://1230194305
Decal	ReplicatedStorage.Benches.External Stone Wall.Default.Wire.Decal	rbxassetid://1230194305
Decal	ReplicatedStorage.Benches.External Stone Wall.Default.Wire.Decal	rbxassetid://1230194305
Decal	ReplicatedStorage.Benches.Pilot Pete.Default.Main.Eyes	rbxassetid://2801605712
Decal	ReplicatedStorage.Benches.Pilot Pete.Default.Main.Mouth	rbxassetid://2813767341
Decal	ReplicatedStorage.Benches.Pilot Pete.Default.Main.Brows	rbxassetid://2801687635
Decal	ReplicatedStorage.Benches.Salvaged Metal Door.Visions.Door.Detail.Decal	rbxassetid://6101276356
Decal	ReplicatedStorage.Benches.Salvaged Metal Door.Visions.Door.Detail.Decal	rbxassetid://6101276356
Decal	ReplicatedStorage.Benches.Salvaged Metal Door.Graffiti.Door.Detail.Decal	rbxassetid://6101276356
Decal	ReplicatedStorage.Benches.Salvaged Metal Door.Graffiti.Door.Detail.Decal	rbxassetid://6101276356
Decal	ReplicatedStorage.Benches.Salvaged Metal Door.Default.Door.Detail.Decal	rbxassetid://6101276356
Decal	ReplicatedStorage.Benches.Salvaged Metal Door.Default.Door.Detail.Decal	rbxassetid://6101276356
Decal	ReplicatedStorage.Benches.Metal Spikes.Default.Wire.Decal	rbxassetid://1230194305
Decal	ReplicatedStorage.Benches.Metal Spikes.Default.Wire.Decal	rbxassetid://1230194305
Texture	ReplicatedStorage.Benches.Chicken House.Default.Fence.Texture	rbxassetid://6101276356
Texture	ReplicatedStorage.Benches.Chicken House.Default.Fence.Texture	rbxassetid://6101276356
Texture	ReplicatedStorage.Benches.Chicken House.Default.Fence.Texture	rbxassetid://6101276356
Texture	ReplicatedStorage.Benches.Chicken House.Default.Fence.Texture	rbxassetid://6101276356
Decal	ReplicatedStorage.Benches.Diver Dave.Default.Main.Eyes	rbxassetid://2801605712
Decal	ReplicatedStorage.Benches.Diver Dave.Default.Main.Mouth	rbxassetid://2813767341
Decal	ReplicatedStorage.Benches.Diver Dave.Default.Main.Brows	rbxassetid://3523931344
Decal	ReplicatedStorage.Benches.Diver Dave.Default.Main.Detail	rbxassetid://2801785860
Decal	ReplicatedStorage.Benches.Diver Dave.Default.Main.Birthmark1	rbxassetid://3524056624
Decal	ReplicatedStorage.Benches.Diver Dave.Default.Main.Freckles	rbxassetid://3524071308
Decal	ReplicatedStorage.Modules.ViewportModule.Selected	rbxassetid://1195495135
ImageLabel	ReplicatedStorage.UIs.Main.Crafting.Queue.Content.Slot1.X	rbxassetid://1561746492
ImageButton	ReplicatedStorage.UIs.Main.Crafting.Queue.Content.Slot1	rbxassetid://2975000004
ImageButton	ReplicatedStorage.UIs.Main.Crafting.Information.ItemImage	rbxassetid://13981108017
ImageLabel	ReplicatedStorage.UIs.Main.Crafting.Materials.List.Slot1.ItemImage	rbxassetid://14654996629
ImageButton	ReplicatedStorage.UIs.Main.Crafting.Materials.List.Slot1	http://www.roblox.com/asset/?id=28756351
ImageLabel	ReplicatedStorage.UIs.Main.Crafting.Materials.OLDLIST.Slot1.ItemImage	rbxassetid://14654996629
ImageButton	ReplicatedStorage.UIs.Main.Crafting.Materials.OLDLIST.Slot1	http://www.roblox.com/asset/?id=28756351
ImageLabel	ReplicatedStorage.UIs.Main.Crafting.Craftables.Content.Template.Lock	rbxassetid://1554871812
ImageButton	ReplicatedStorage.UIs.Main.Crafting.Craftables.Content.Template	rbxassetid://13981108017
ImageLabel	ReplicatedStorage.UIs.Main.Crafting.Skins.List.Layout.Template.ItemImage	rbxassetid://13981108017
ImageButton	ReplicatedStorage.UIs.Main.Crafting.Skins.List.Layout.Template	http://www.roblox.com/asset/?id=28756351
ImageButton	ReplicatedStorage.UIs.Main.Crafting.NOTUSED.ItemImage	rbxassetid://2975000004
ImageLabel	ReplicatedStorage.UIs.Main.Crafting.List.Layout.Template.ItemImage	rbxassetid://13981108017
ImageButton	ReplicatedStorage.UIs.Main.Crafting.List.Layout.Template	http://www.roblox.com/asset/?id=28756351
ImageLabel	ReplicatedStorage.UIs.Main.Crafting.CraftingConsole.ImageLabel	rbxasset://textures/ui/Controls/XboxController/ButtonY@2x.png
ImageLabel	ReplicatedStorage.UIs.Main.Toolbar.Slot1.Broken	http://www.roblox.com/asset/?id=240664703
ImageButton	ReplicatedStorage.UIs.Main.Toolbar.Slot1	http://www.roblox.com/asset/?id=28756351
ImageLabel	ReplicatedStorage.UIs.Main.Toolbar.Slot2.Broken	http://www.roblox.com/asset/?id=240664703
ImageButton	ReplicatedStorage.UIs.Main.Toolbar.Slot2	http://www.roblox.com/asset/?id=28756351
ImageLabel	ReplicatedStorage.UIs.Main.Toolbar.Slot3.Broken	http://www.roblox.com/asset/?id=240664703
ImageButton	ReplicatedStorage.UIs.Main.Toolbar.Slot3	http://www.roblox.com/asset/?id=28756351
ImageLabel	ReplicatedStorage.UIs.Main.Toolbar.Slot4.Broken	http://www.roblox.com/asset/?id=240664703
ImageButton	ReplicatedStorage.UIs.Main.Toolbar.Slot4	http://www.roblox.com/asset/?id=28756351
ImageLabel	ReplicatedStorage.UIs.Main.Toolbar.Slot5.Broken	http://www.roblox.com/asset/?id=240664703
ImageButton	ReplicatedStorage.UIs.Main.Toolbar.Slot5	http://www.roblox.com/asset/?id=28756351
ImageLabel	ReplicatedStorage.UIs.Main.Toolbar.Slot6.Broken	http://www.roblox.com/asset/?id=240664703
ImageButton	ReplicatedStorage.UIs.Main.Toolbar.Slot6	http://www.roblox.com/asset/?id=28756351
ImageLabel	ReplicatedStorage.UIs.Main.Drag	http://www.roblox.com/asset/?id=8901827424
ImageButton	ReplicatedStorage.UIs.Main.Stats.Health	http://www.roblox.com/asset/?id=2288876270
ImageButton	ReplicatedStorage.UIs.Main.Stats.Hunger	http://www.roblox.com/asset/?id=2288876270
ImageButton	ReplicatedStorage.UIs.Main.Stats.Thirst	http://www.roblox.com/asset/?id=2288876270
ImageLabel	ReplicatedStorage.UIs.Main.OldHitMarker	rbxassetid://8797893157
ImageLabel	ReplicatedStorage.UIs.Main.Scope.Frame.Vignette	rbxassetid://5813726587
ImageLabel	ReplicatedStorage.UIs.Main.Scope.Frame.Grain	rbxassetid://1866478166
ImageLabel	ReplicatedStorage.UIs.Main.Scope.Frame	rbxassetid://137736143094505
ImageLabel	ReplicatedStorage.UIs.Main.Scope	rbxassetid://137736143094505
ImageLabel	ReplicatedStorage.UIs.Main.BloodMarker.Img	rbxassetid://7241670800
ImageLabel	ReplicatedStorage.UIs.Main.Hover	rbxassetid://99851851
ImageLabel	ReplicatedStorage.UIs.Main.Wheel.BG	rbxassetid://12650621827
ImageLabel	ReplicatedStorage.UIs.Main.Wheel.SelectedImage	rbxassetid://2535574992
ImageLabel	ReplicatedStorage.UIs.Main.Wheel.Wheel1.Red	rbxassetid://12650621827
ImageLabel	ReplicatedStorage.UIs.Main.Wheel.Wheel1.Icon.Q1	rbxassetid://2535574992
ImageLabel	ReplicatedStorage.UIs.Main.Wheel.Wheel2.Red	rbxassetid://12650621633
ImageLabel	ReplicatedStorage.UIs.Main.Wheel.Wheel2.Icon.Q1	rbxassetid://2535574992
ImageLabel	ReplicatedStorage.UIs.Main.Wheel.Wheel2.Icon.Q2	rbxassetid://2535574992
ImageLabel	ReplicatedStorage.UIs.Main.Wheel.Wheel4.Red	rbxassetid://12650621306
ImageLabel	ReplicatedStorage.UIs.Main.Wheel.Wheel4.Icon.Q1	rbxassetid://2535574992
ImageLabel	ReplicatedStorage.UIs.Main.Wheel.Wheel4.Icon.Q2	rbxassetid://2535574992
ImageLabel	ReplicatedStorage.UIs.Main.Wheel.Wheel4.Icon.Q4	rbxassetid://2535574992
ImageLabel	ReplicatedStorage.UIs.Main.Wheel.Wheel4.Icon.Q3	rbxassetid://2535574992
